app_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,sicname1,co2,ch4,n2o,hfcs,pfcs,sf6,nf3,tot2,tot,cause,check_yn,cityno,townno
111,13079654,鉅輝鋼鐵股份有限公司,0001,H51A5615,桃園市,平鎮區,桃園市平鎮區新安里洪圳路三二六號,2521,金屬結構製造業,18295.0909,15.6475,10.6088,0.0000,0.0000,0.0000,0.00,8635.8532,26957.200,依法申報,是,,
111,13035951,香榮實業股份有限公司,0001,H4814797,桃園市,龜山區,山頂里山鶯路國光巷一號,1140,印染整理業,19795.7694,21.6500,96.3434,1.2870,0.0000,0.0000,0.00,2909.9070,22824.957,依法申報,是,,
111,12800750,敦南科技股份有限公司新竹分公司廠,0001,o1745831,新竹市,東區,工業東七路七號,2611,積體電路製造業,28.1920,47.9450,1617.2758,8.1950,33349.5584,1805.7600,295.56,23122.4401,60274.934,依法申報,是,,
111,12800225,群創光電股份有限公司T6廠,0016,E2902160,高雄市,路竹區,路科十路11號B室,2641,液晶面板及其組件製造業,2313.8028,34.0125,25.7850,28.6000,492.0923,252.6675,21.32,115809.4332,118977.718,依法申報,是,,
111,12800225,群創光電股份有限公司樹谷分公司,0015,R03A0450,台南市,新市區,台南市新市區豐華村8鄰紫楝路21號,2641,液晶面板及其組件製造業,6174.9378,62.0150,2.9502,4484.8278,0.0000,3485.4057,93.34,396673.0223,410976.508,依法申報,是,,
111,12800225,群創光電股份有限公司觸控模組廠,0014,D9001225,台南市,善化區,台南市善化區南科八路12號B室,2641,液晶面板及其組件製造業,15.8750,48.6250,0.0000,0.0000,0.0000,0.0000,0.00,16281.1900,16345.690,依法申報,是,,
111,12800225,群創光電股份有限公司C廠,0011,R90A1469,台南市,善化區,台南市善化區南科八路12號(不包含A室、B室),2641,液晶面板及其組件製造業,94.6683,30.7325,0.0894,0.0000,0.0000,0.0000,0.00,24863.3193,24988.810,依法申報,是,,
111,12800225,群創光電股份有限公司F廠,0010,S29A1607,高雄市,路竹區,高雄市路竹區路科十路11號,2641,液晶面板及其組件製造業,4771.6713,82.7675,2.5628,2420.4284,0.0000,2309.6674,119.65,337335.5772,347042.331,依法申報,是,,
111,12800225,群創光電股份有限公司D廠,0009,R03A1913,台南市,新市區,台南市新市區環西路一段3號,2641,液晶面板及其組件製造業,6560.2631,281.7825,3.6058,1641.4324,0.0000,4737.4600,134.62,600535.0363,613894.208,依法申報,是,,
111,12800225,群創光電股份有限公司B廠,0008,R03A1894,台南市,新市區,環西路二段2號,2641,液晶面板及其組件製造業,6265.0934,101.0300,18.6054,3092.6142,0.0000,40969.7065,50.33,406588.4017,457085.781,依法申報,是,,
111,12800225,群創光電股份有限公司A廠,0007,R03A1903,台南市,新市區,奇業路1號,2641,液晶面板及其組件製造業,509.3536,27.0400,4.2826,0.0000,187.1414,7076.8920,1.71,52539.1307,60345.556,依法申報,是,,
111,12800225,群創光電股份有限公司T2廠,0005,K71A1370,苗栗縣,竹南鎮,科學路168號,2641,液晶面板及其組件製造業,3395.3092,158.5550,2.7123,0.0000,0.0000,2084.7904,42.18,218901.0538,224584.605,依法申報,是,,
111,12800225,群創光電股份有限公司T3廠,0004,K71A2695,苗栗縣,竹南鎮,科中路12號,2641,液晶面板及其組件製造業,1810.1350,32.0175,19.4853,0.0000,142.8031,2521.7799,5.42,82998.9072,87530.552,依法申報,是,,
111,12800225,群創光電股份有限公司T1廠,0001,K7104025,苗栗縣,竹南鎮,科學路160號,2641,液晶面板及其組件製造業,2032.8132,78.2400,1.3314,0.0000,0.0300,558.0282,10.91,112691.0253,115372.385,依法申報,是,,
111,12691423,台合科技股份有限公司,0001,E1901105,高雄市,林園區,高雄市林園區溪洲里工業二路1-1號,1990,其他化學製品製造業,24809.6813,256.6400,109.1574,0.0000,0.0000,0.0000,0.00,4420.7542,29596.233,依法申報,是,,
